British (English) vernacular name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Brent Goose,Brant Goose,Branta bernicla,AE,,,,275
Red-breasted Goose,,Branta ruficollis,AE*,†,,,279
Canada Goose,,Branta canadensis,AC2E*,‡,,,281
Barnacle Goose,,Branta leucopsis,AC2E*,,,,289
Cackling Goose,,Branta hutchinsii,AE,†,,,290
Ross's Goose,,Anser rossii,AE*,†,,,297
Snow Goose,,Anser caerulescens,AC2E*,,,,299
Greylag Goose,,Anser anser,AC2C4E*,,,,302
Taiga Bean Goose,,Anser fabalis,AE*,,,,306
Pink-footed Goose,,Anser brachyrhynchus,AE*,,,,310
Tundra Bean Goose,,Anser serrirostris,AE,,,,311
White-fronted Goose,Greater White-fronted Goose,Anser albifrons,AE*,,,,314
Lesser White-fronted Goose,,Anser erythropus,AE*,†,,,320
Mute Swan,,Cygnus olor,AC2,,,,326
Bewick's Swan,Tundra Swan,Cygnus columbianus,AE,‡,,,328
Whooper Swan,,Cygnus cygnus,AE*,,,,331
Egyptian Goose,,Alopochen aegyptiaca,C1C5E*,,,,359
Shelduck,Common Shelduck,Tadorna tadorna,A,,,,379
Ruddy Shelduck,,Tadorna ferruginea,BDE*,†,,,380
Mandarin Duck,,Aix galericulata,C1E*,,,,397
Baikal Teal,,Sibirionetta formosa,AE,†,,,419
Garganey,,Spatula querquedula,A,,,,421
Blue-winged Teal,,Spatula discors,AE*,†,,,434
Shoveler,Northern Shoveler,Spatula clypeata,A,,,,437
Gadwall,,Mareca strepera,AC2E*,,,,439
Falcated Duck,,Mareca falcata,AE,†,,,442
Wigeon,Eurasian Wigeon,Mareca penelope,AE*,,,,443
American Wigeon,,Mareca americana,AE,,,,445
Mallard,,Anas platyrhynchos,AC2C4E*,,,,465
Black Duck,American Black Duck,Anas rubripes,A,†,,,471
Pintail,Northern Pintail,Anas acuta,AE,,,,486
Teal,Eurasian Teal,Anas crecca,A,,,,487
Green-winged Teal,,Anas carolinensis,A,,,,488
Red-crested Pochard,,Netta rufina,AC2E*,,,,511
Canvasback,,Aythya valisineria,AE,†,,,517
Redhead,,Aythya americana,AE,†,,,518
Pochard,Common Pochard,Aythya ferina,AE*,,,,519
Ferruginous Duck,,Aythya nyroca,AE,†,,,523
Ring-necked Duck,,Aythya collaris,AE,,,,525
Tufted Duck,,Aythya fuligula,A,,,,526
Scaup,Greater Scaup,Aythya marila,A,,,,527
Lesser Scaup,,Aythya affinis,A,†,,,530
Steller's Eider,,Polysticta stelleri,A,†,,,532
King Eider,,Somateria spectabilis,A,†,,,535
Eider,Common Eider,Somateria mollissima,A,,,,536
Harlequin Duck,,Histrionicus histrionicus,A,†,,,544
Surf Scoter,,Melanitta perspicillata,A,,,,548
Velvet Scoter,,Melanitta fusca,A,,,,549
White-winged Scoter,,Melanitta deglandi,A,†,,,550
Common Scoter,,Melanitta nigra,A,,,,552
Black Scoter,,Melanitta americana,A,†,,,553
Long-tailed Duck,,Clangula hyemalis,A,,,,555
Bufflehead,,Bucephala albeola,AE,†,,,557
Goldeneye,Common Goldeneye,Bucephala clangula,AE*,,,,558
Barrow's Goldeneye,,Bucephala islandica,AE,†,,,561
Smew,,Mergellus albellus,A,,,,563
Hooded Merganser,,Lophodytes cucullatus,AE,†,,,565
Goosander,Common Merganser,Mergus merganser,A,,,,569
Red-breasted Merganser,,Mergus serrator,A,,,,573
Ruddy Duck,,Oxyura jamaicensis,C1E*,,,,580
Red Grouse,Willow Ptarmigan,Lagopus lagopus,A,,,,1137
Ptarmigan,Rock Ptarmigan,Lagopus muta,A,,,,1154
Capercaillie,Western Capercaillie,Tetrao urogallus,C3E*,,,,1189
Black Grouse,,Lyrurus tetrix,AE,,,,1202
Grey Partridge,,Perdix perdix,AC2E*,,,,1218
Golden Pheasant,,Chrysolophus pictus,C1E*,,,,1244
Lady Amherst's Pheasant,,Chrysolophus amherstiae,C6E*,,,,1245
Pheasant,Common Pheasant,Phasianus colchicus,C1E*,,,,1247
Quail,Common Quail,Coturnix coturnix,AE*,,,,1516
Red-legged Partridge,,Alectoris rufa,C1E*,,,,1539
Common Nighthawk,,Chordeiles minor,A,†,,,1671
Red-necked Nightjar,,Caprimulgus ruficollis,B,†,,,1812
Nightjar,European Nightjar,Caprimulgus europaeus,A,,,,1822
Egyptian Nightjar,,Caprimulgus aegyptius,A,†,,,1833
White-throated Needletail,,Hirundapus caudacutus,A,†,,,2225
Chimney Swift,,Chaetura pelagica,A,†,,,2248
Alpine Swift,,Tachymarptis melba,A,,,,2308
Swift,Common Swift,Apus apus,A,,,,2327
Pallid Swift,,Apus pallidus,A,†,,,2334
Pacific Swift,,Apus pacificus,A,†,,,2355
Little Swift,,Apus affinis,A,†,,,2362
White-rumped Swift,,Apus caffer,A,†,,,2377
Great Bustard,,Otis tarda,AE*,†,,,3425
Macqueen's Bustard,,Chlamydotis macqueenii,A,†,,,3443
Little Bustard,,Tetrax tetrax,A,†,,,3489
Great Spotted Cuckoo,,Clamator glandarius,A,†,,,3667
Yellow-billed Cuckoo,,Coccyzus americanus,A,†,,,3698
Black-billed Cuckoo,,Coccyzus erythropthalmus,A,†,,,3702
Cuckoo,Common Cuckoo,Cuculus canorus,A,,,,3864
Pallas's Sandgrouse,,Syrrhaptes paradoxus,A,†,,,3884
Rock Dove,,Columba livia,AC4E*,,,,3932
Stock Dove,,Columba oenas,A,,,,3952
Woodpigeon,Common Wood Pigeon,Columba palumbus,A,,,,3957
Turtle Dove,European Turtle Dove,Streptopelia turtur,A,,,,4076
Oriental Turtle Dove,,Streptopelia orientalis,A,†,,,4083
Collared Dove,Eurasian Collared Dove,Streptopelia decaocto,A,,,,4091
Mourning Dove,,Zenaida macroura,A,†,,,4421
Water Rail,,Rallus aquaticus,A,,,,5039
Corncrake,Corn Crake,Crex crex,AE*,,,,5057
Sora Rail,Sora,Porzana carolina,A,†,,,5142
Spotted Crake,,Porzana porzana,A,,,,5143
Moorhen,Common Moorhen,Gallinula chloropus,A,,,,5163
Coot,Eurasian Coot,Fulica atra,A,,,,5178
American Coot,,Fulica americana,A,†,,,5186
Allen's Gallinule,,Porphyrio alleni,A,†,,,5194
American Purple Gallinule,Purple Gallinule,Porphyrio martinica,A,†,,,5195
Western Swamphen,,Porphyrio porphyrio,AE,†,,,5197
Baillon's Crake,,Zapornia pusilla,A,†,,,5277
Little Crake,,Zapornia parva,A,†,,,5285
Sandhill Crane,,Antigone canadensis,A,†,,,5363
Crane,Common Crane,Grus grus,AE*,,,,5381
Little Grebe,,Tachybaptus ruficollis,A,,,,5397
Pied-billed Grebe,,Podilymbus podiceps,A,†,,,5424
Red-necked Grebe,,Podiceps grisegena,A,‡,,,5442
Great Crested Grebe,,Podiceps cristatus,A,,,,5445
Slavonian Grebe,Horned Grebe,Podiceps auritus,A,,,,5449
Black-necked Grebe,,Podiceps nigricollis,A,,,,5452
Stone-curlew,Eurasian Stone-curlew,Burhinus oedicnemus,A,,,,5552
Oystercatcher,Eurasian Oystercatcher,Haematopus ostralegus,A,,,,5602
Black-winged Stilt,,Himantopus himantopus,A,,,,5621
Avocet,Pied Avocet,Recurvirostra avosetta,AE,,,,5631
Lapwing,Northern Lapwing,Vanellus vanellus,A,,,,5638
Sociable Plover,Sociable Lapwing,Vanellus gregarius,A,†,,,5674
White-tailed Plover,White-tailed Lapwing,Vanellus leucurus,A,†,,,5675
Golden Plover,European Golden Plover,Pluvialis apricaria,A,,,,5689
Pacific Golden Plover,,Pluvialis fulva,A,†,,,5690
American Golden Plover,,Pluvialis dominica,A,,,,5691
Grey Plover,,Pluvialis squatarola,A,,,,5692
Ringed Plover,Common Ringed Plover,Charadrius hiaticula,A,,,,5700
Semipalmated Plover,,Charadrius semipalmatus,A,†,,,5704
Little Ringed Plover,,Charadrius dubius,A,,,,5706
Killdeer,,Charadrius vociferus,A,†,,,5715
Kentish Plover,,Charadrius alexandrinus,A,†,,,5734
Lesser Sand Plover,,Charadrius mongolus,A,†,,,5754
Greater Sand Plover,,Charadrius leschenaultii,A,†,,,5760
Caspian Plover,,Charadrius asiaticus,A,†,,,5764
Dotterel,Eurasian Dotterel,Charadrius morinellus,A,,,,5766
Upland Sandpiper,,Bartramia longicauda,A,†,,,5838
Whimbrel,Eurasian Whimbrel,Numenius phaeopus,A,,,,5841
Hudsonian Whimbrel,,Numenius hudsonicus,A,†,,,5847
Little Whimbrel,Little Curlew,Numenius minutus,A,†,,,5850
Eskimo Curlew,,Numenius borealis,B,†,,,5851
Curlew,Eurasian Curlew,Numenius arquata,A,,,,5855
Bar-tailed Godwit,,Limosa lapponica,A,,,,5860
Black-tailed Godwit,,Limosa limosa,A,,,,5865
Hudsonian Godwit,,Limosa haemastica,A,†,,,5870
Turnstone,Ruddy Turnstone,Arenaria interpres,A,,,,5875
Great Knot,,Calidris tenuirostris,A,†,,,5885
Knot,Red Knot,Calidris canutus,A,,,,5886
Ruff,,Calidris pugnax,A,,,,5894
Broad-billed Sandpiper,,Calidris falcinellus,A,†,,,5895
Sharp-tailed Sandpiper,,Calidris acuminata,A,†,,,5898
Stilt Sandpiper,,Calidris himantopus,A,†,,,5899
Curlew Sandpiper,,Calidris ferruginea,A,,,,5900
Temminck's Stint,,Calidris temminckii,A,,,,5901
Long-toed Stint,,Calidris subminuta,A,†,,,5902
Red-necked Stint,,Calidris ruficollis,A,†,,,5904
Sanderling,,Calidris alba,A,,,,5905
Dunlin,,Calidris alpina,A,,,,5908
Purple Sandpiper,,Calidris maritima,A,,,,5924
Baird's Sandpiper,,Calidris bairdii,A,†,,,5925
Little Stint,,Calidris minuta,A,,,,5926
Least Sandpiper,,Calidris minutilla,A,†,,,5927
White-rumped Sandpiper,,Calidris fuscicollis,A,,,,5928
Buff-breasted Sandpiper,,Calidris subruficollis,A,,,,5929
Pectoral Sandpiper,,Calidris melanotos,A,,,,5930
Semipalmated Sandpiper,,Calidris pusilla,A,†,,,5931
Western Sandpiper,,Calidris mauri,A,†,,,5932
Long-billed Dowitcher,,Limnodromus scolopaceus,A,†,,,5935
Short-billed Dowitcher,,Limnodromus griseus,A,†,,,5936
Woodcock,Eurasian Woodcock,Scolopax rusticola,A,,,,5941
Jack Snipe,,Lymnocryptes minimus,A,,,,5961
Great Snipe,,Gallinago media,A,†,,,5975
Snipe,Common Snipe,Gallinago gallinago,A,,,,5976
Wilson's Snipe,,Gallinago delicata,A,†,,,5979
Terek Sandpiper,,Xenus cinereus,A,†,,,5993
Wilson's Phalarope,,Phalaropus tricolor,A,†,,,5995
Red-necked Phalarope,,Phalaropus lobatus,A,,,,5996
Grey Phalarope,Red Phalarope,Phalaropus fulicarius,A,,,,5997
Common Sandpiper,,Actitis hypoleucos,A,,,,5999
Spotted Sandpiper,,Actitis macularius,A,†,,,6000
Green Sandpiper,,Tringa ochropus,A,,,,6002
Solitary Sandpiper,,Tringa solitaria,A,†,,,6003
Grey-tailed Tattler,,Tringa brevipes,A,†,,,6007
Lesser Yellowlegs,,Tringa flavipes,A,,,,6008
Redshank,Common Redshank,Tringa totanus,A,,,,6012
Marsh Sandpiper,,Tringa stagnatilis,A,†,,,6019
Wood Sandpiper,,Tringa glareola,A,,,,6020
Spotted Redshank,,Tringa erythropus,A,,,,6021
Greenshank,Common Greenshank,Tringa nebularia,A,,,,6022
Greater Yellowlegs,,Tringa melanoleuca,A,†,,,6024
Cream-coloured Courser,Cream-colored Courser,Cursorius cursor,A,†,,,6032
Collared Pratincole,,Glareola pratincola,A,†,,,6066
Oriental Pratincole,,Glareola maldivarum,A,†,,,6069
Black-winged Pratincole,,Glareola nordmanni,A,†,,,6070
Kittiwake,Black-legged Kittiwake,Rissa tridactyla,A,,,,6122
Ivory Gull,,Pagophila eburnea,A,†,,,6127
Sabine's Gull,,Xema sabini,A,,,,6129
Slender-billed Gull,,Chroicocephalus genei,A,†,,,6131
Bonaparte's Gull,,Chroicocephalus philadelphia,A,†,,,6132
Black-headed Gull,,Chroicocephalus ridibundus,A,,,,6141
Little Gull,,Hydrocoloeus minutus,A,,,,6148
Ross's Gull,,Rhodostethia rosea,A,†,,,6150
Laughing Gull,,Leucophaeus atricilla,A,†,,,6154
Franklin's Gull,,Leucophaeus pipixcan,A,†,,,6157
Audouin's Gull,,Ichthyaetus audouinii,A,†,,,6161
Mediterranean Gull,,Ichthyaetus melanocephalus,A,,,,6162
Great Black-headed Gull,Pallas's Gull,Ichthyaetus ichthyaetus,B,†,,,6163
Common Gull,,Larus canus,A,,,,6174
Ring-billed Gull,,Larus delawarensis,A,,,,6179
Great Black-backed Gull,,Larus marinus,A,,,,6183
Glaucous-winged Gull,,Larus glaucescens,A,†,,,6190
Glaucous Gull,,Larus hyperboreus,A,,,,6195
Iceland Gull,,Larus glaucoides,A,‡,,,6200
Herring Gull,European Herring Gull,Larus argentatus,A,,,,6204
American Herring Gull,,Larus smithsonianus,A,†,,,6207
Caspian Gull,,Larus cachinnans,A,,,,6211
Yellow-legged Gull,,Larus michahellis,A,‡,,,6212
Slaty-backed Gull,,Larus schistisagus,A,†,,,6216
Lesser Black-backed Gull,,Larus fuscus,A,‡,,,6217
Gull-billed Tern,,Gelochelidon nilotica,A,†,,,6224
Caspian Tern,,Hydroprogne caspia,A,†,,,6232
Royal Tern,,Thalasseus maximus,A,†,,,6234
Lesser Crested Tern,,Thalasseus bengalensis,A,†,,,6240
Sandwich Tern,,Thalasseus sandvicensis,A,,,,6246
Cabot's Tern,,Thalasseus acuflavidus,A,†,,,6247
Elegant Tern,,Thalasseus elegans,A,†,,,6250
Little Tern,,Sternula albifrons,A,,,,6252
Least Tern,,Sternula antillarum,A,†,,,6257
Aleutian Tern,,Onychoprion aleuticus,A,†,,,6269
Bridled Tern,,Onychoprion anaethetus,A,†,,,6271
Sooty Tern,,Onychoprion fuscatus,A,†,,,6276
Roseate Tern,,Sterna dougallii,A,,,,6285
Common Tern,,Sterna hirundo,A,,,,6296
Arctic Tern,,Sterna paradisaea,A,,,,6302
Forster's Tern,,Sterna forsteri,A,†,,,6313
Whiskered Tern,,Chlidonias hybrida,A,,,,6318
White-winged Black Tern,White-winged Tern,Chlidonias leucopterus,A,,,,6322
Black Tern,,Chlidonias niger,A,‡,,,6323
South Polar Skua,,Stercorarius maccormicki,A,†,,,6337
Great Skua,,Stercorarius skua,A,,,,6339
Pomarine Skua,Pomarine Jaeger,Stercorarius pomarinus,A,,,,6340
Arctic Skua,Parasitic Jaeger,Stercorarius parasiticus,A,,,,6341
Long-tailed Skua,Long-tailed Jaeger,Stercorarius longicaudus,A,,,,6342
Little Auk,,Alle alle,A,‡,,,6348
Brünnich's Guillemot,Thick-billed Murre,Uria lomvia,A,†,,,6352
Common Guillemot,Common Murre,Uria aalge,A,,,,6357
Razorbill,,Alca torda,A,,,,6364
Great Auk,,Pinguinus impennis,B,Extinct,,,6368
Black Guillemot,,Cepphus grylle,A,‡,,,6370
Long-billed Murrelet,,Brachyramphus perdix,A,†,,,6385
Ancient Murrelet,,Synthliboramphus antiquus,A,†,,,6391
Puffin,Atlantic Puffin,Fratercula arctica,A,,,,6407
Tufted Puffin,,Fratercula cirrhata,A,†,,,6409
Red-billed Tropicbird,,Phaethon aethereus,AE,†,,,6426
Red-throated Diver,Red-throated Loon,Gavia stellata,A,,,,6446
Black-throated Diver,Black-throated Loon,Gavia arctica,A,,,,6447
Pacific Diver,Pacific Loon,Gavia pacifica,A,†,,,6450
Great Northern Diver,Common Loon,Gavia immer,A,,,,6451
White-billed Diver,Yellow-billed Loon,Gavia adamsii,A,,,,6452
Wilson's Petrel,Wilson's Storm Petrel,Oceanites oceanicus,A,,,,6496
White-faced Storm Petrel,,Pelagodroma marina,B,†,,,6507
Black-browed Albatross,,Thalassarche melanophris,A,†,,,6546
Atlantic Yellow-nosed Albatross,,Thalassarche chlororhynchos,A,†,,,6554
Storm Petrel,European Storm Petrel,Hydrobates pelagicus,A,,,,6562
Swinhoe's Petrel,Swinhoe's Storm Petrel,Hydrobates monorhis,A,†,,,6569
Leach's Petrel,Leach's Storm Petrel,Hydrobates leucorhous,A,,,,6571
Fulmar,Northern Fulmar,Fulmarus glacialis,A,,,,6594
Black-capped Petrel,,Pterodroma hasitata,A,†,,,6640
White-chinned Petrel,,Procellaria aequinoctialis,A,†,,,6677
Scopoli's Shearwater,,Calonectris diomedea,A,†,,,6683
Cory's Shearwater,,Calonectris borealis,A,,,,6684
Sooty Shearwater,,Ardenna grisea,A,,,,6689
Great Shearwater,,Ardenna gravis,A,,,,6693
Manx Shearwater,,Puffinus puffinus,A,,,,6696
Yelkouan Shearwater,,Puffinus yelkouan,A,†,,,6699
Balearic Shearwater,,Puffinus mauretanicus,A,,,,6700
Barolo Shearwater,,Puffinus baroli,A,†,,,6729
Black Stork,,Ciconia nigra,AE,†,,,6762
White Stork,,Ciconia ciconia,AE,,,,6770
Ascension Frigatebird,,Fregata aquila,A,†,,,6789
Magnificent Frigatebird,,Fregata magnificens,A,†,,,6791
Gannet,Northern Gannet,Morus bassanus,A,,,,6805
Red-footed Booby,,Sula sula,A,†,,,6821
Brown Booby,,Sula leucogaster,A,†,,,6825
Cormorant,Great Cormorant,Phalacrocorax carbo,A,,,,6882
Shag,European Shag,Gulosus aristotelis,A,,,,6889
Double-crested Cormorant,,Nannopterum auritum,AE,†,,,6898
Glossy Ibis,,Plegadis falcinellus,AE,,,,6981
Spoonbill,Eurasian Spoonbill,Platalea leucorodia,AE,,,,6989
Bittern,Eurasian Bittern,Botaurus stellaris,A,,,,7025
American Bittern,,Botaurus lentiginosus,A,†,,,7029
Little Bittern,,Ixobrychus minutus,A,†,,,7042
Night-heron,Black-crowned Night Heron,Nycticorax nycticorax,AE*,,,,7062
Green Heron,,Butorides virescens,A,†,,,7087
Squacco Heron,,Ardeola ralloides,A,†,,,7116
Chinese Pond Heron,,Ardeola bacchus,A,†,,,7118
Cattle Egret,Western Cattle Egret,Bubulcus ibis,AE,,,,7125
Grey Heron,,Ardea cinerea,A,,,,7128
Great Blue Heron,,Ardea herodias,A,†,,,7133
Purple Heron,,Ardea purpurea,A,,,,7146
Great White Egret,Great Egret,Ardea alba,A,,,,7151
Snowy Egret,,Egretta thula,A,†,,,7178
Little Egret,,Egretta garzetta,A,,,,7181
Dalmatian Pelican,,Pelecanus crispus,A,†,,,7208
Osprey,Western Osprey,Pandion haliaetus,AE*,,,,7253
Egyptian Vulture,,Neophron percnopterus,BDE,†,,,7289
Honey-buzzard,European Honey Buzzard,Pernis apivorus,A,,,,7306
Short-toed Eagle,Short-toed Snake Eagle,Circaetus gallicus,A,†,,,7417
Spotted Eagle,Greater Spotted Eagle,Clanga clanga,B,†,,,7487
Golden Eagle,,Aquila chrysaetos,AE,,,,7505
Sparrowhawk,Eurasian Sparrowhawk,Accipiter nisus,A,,,,7688
Goshawk,Northern Goshawk,Accipiter gentilis,AC3E*,,,,7724
Marsh Harrier,Western Marsh Harrier,Circus aeruginosus,A,,,,7737
Hen Harrier,,Circus cyaneus,A,,,,7749
Northern Harrier,,Circus hudsonius,A,†,,,7750
Pallid Harrier,,Circus macrourus,A,†,,,7752
Montagu's Harrier,,Circus pygargus,A,,,,7754
