locId,locName,countryCode,subnational1Code,lat,lng,latestObsDt,numSpeciesAllTime
L5941152,Acheleia (Αχέλεια),CY,CY-05,34.7285635,32.4791479,2021-03-08 06:42,71
L6194429,Agia Varvara (Αγιά Βαρβάρα),CY,CY-05,34.754081,32.5076874,2023-02-27 10:50,177
L7281027,Agillidere Dam,CY,CY-04,35.2506974,33.5787356,2022-09-03 09:02,40
L6811531,Agios Dimitrianos (Άγιος Δημητριανός),CY,CY-05,34.9081763,32.5509882,2018-01-27 08:30,18
L21433529,Agios Dimitros Park / Πάρκο Αγίου Δημητρίου,CY,CY-01,35.153138,33.35584,2022-11-03 16:31,7
L9234656,Agios Ermolaos Dam,CY,CY-06,35.2621514,33.1684167,2022-10-25 08:35,30
L8677204,Agios Filonas,CY,CY-04,35.6300774,34.3749317,2023-01-04 10:37,103
L5710118,Agios Georgios (St George) Chapel,CY,CY-02,34.6033029,32.9398227,2022-10-12 09:30,103
L20871655,Agios Georgios Park and Lake / Πάρκο και Λίμνη Αγίου Γεωργίου,CY,CY-01,35.142475,33.400028,2023-01-21 16:03,34
L4797006,Agios Nikolaos (Αγιος Νικόλαος) to Omodos (Όμοδος) road,CY,CY-02,34.8648063,32.783246,2022-06-10 07:40,48
L12914075,Agios Nikolaos Monastery (Αγιος Νικόλαος),CY,CY-02,34.5993377,32.9866219,2022-05-14 10:48,21
L22292121,Agios Sozomenos Abandoned Village and Water Treatment Works / 'Αγιος Σωζόμενος,CY,CY-01,35.0649393,33.4398097,2023-02-26 10:05,47
L1122872,Akamas Peninsula NP (Εθνικό Πάρκο Χερσονήσου Ακάμα),CY,CY-05,35.0415,32.3225,2022-12-11 11:57,139
L5653962,Akamas Peninsula NP--Fontana Amaroza (Εθνικό Πάρκο Χερσονήσου Ακάμα--Φοντάνα Αμορόζα),CY,CY-05,35.089528,32.3006845,2023-02-07 13:00,106
L3361213,Akhna (Άχνας) Dam,CY,CY-04,35.0509871,33.8079142,2023-03-04 15:16,203
L12915495,Akoursos (Ακουρσός) Pass,CY,CY-05,34.8720451,32.4121691,2018-04-11 00:00,5
L10874541,Akrotiri (Ακρωτήρι) Environmental Education Centre,CY,CY-02,34.6006447,32.9603148,2023-02-11 07:26,118
L5709990,Akrotiri (Ακρωτήρι) Gravel Pits,CY,CY-02,34.6114369,32.9345139,2023-02-11 08:49,193
L19066165,Akrotiri (Ακρωτήρι) Roadside Marsh South,CY,CY-02,34.6011209,32.9662632,2023-02-11 07:28,36
L12231364,Akrotiri (Ακρωτήρι) Turtles Beach,CY,CY-02,34.6029027,32.9316373,2022-04-06 11:41,13
L5639146,Akrotiri (Ακρωτήρι) Wildflower Area,CY,CY-02,34.599863,32.971885,2022-05-26 09:37,80
L19066078,Akrotiri Lake Southeast,CY,CY-02,34.612867,32.992367,2023-03-05 07:10,52
L918795,Akrotiri Marsh (Phasouri Reed-beds),CY,CY-02,34.6303,32.9298,2023-02-27 16:30,215
L5709855,Akrotiri Salt Lake (Limassol Salt Lake),CY,CY-02,34.6177946,32.9750776,2023-02-28 12:40,231
L8678281,Akrotiri Salt Lake (Limassol Salt Lake)--West,CY,CY-02,34.6153827,32.9475796,2023-02-05 14:03,127
L15792622,Alagadi Turtle Beaches,CY,CY-06,35.334113,33.4924382,2022-09-21 15:32,37
L8910617,Alaminos (Αλαμινός) Beach and surroundings,CY,CY-03,34.7761825,33.4697106,2021-11-02 00:00,36
L6363718,Almyrolivado / Αλμυρολίβαδο Picnic Site,CY,CY-02,34.9301694,32.9023576,2023-02-20 09:50,43
L8678051,Anarita (Αναρίτα) Mast,CY,CY-05,34.7314564,32.5484757,2022-04-12 08:00,78
L3514630,Anarita (Αναρίτα) Park,CY,CY-05,34.7630345,32.5384715,2023-02-25 13:45,118
L8756138,Androlikou,CY,CY-05,34.9984631,32.38209,2022-07-20 08:10,64
L21226171,Anthoupoli Plain / Κάμπος Ανθούπολης,CY,CY-01,35.1115814,33.2677044,2022-10-13 15:20,24
L21393830,Apalos Hill and Trail / Λόφος και Μονοπάτι Απαλού,CY,CY-01,35.089879,33.361894,2022-10-30 12:10,11
L9851837,Aphrodite Hills (Αφροδίτη Χίλς),CY,CY-05,34.686095,32.6080658,2019-08-25 08:00,41
L1122877,Aphrodites Rock,CY,CY-05,34.6642,32.6269,2023-02-05 17:01,52
L7274329,Apostolos Andreas Monastery,CY,CY-04,35.6594581,34.5742321,2022-06-14 14:30,74
L6098853,Argaka (Αργάκα) area,CY,CY-05,35.0801462,32.4968406,2019-03-16 10:26,35
L6361004,Arminou (Αρμίνου) Dam,CY,CY-05,34.877693,32.7387214,2022-04-09 15:00,42
L8677106,Armou (Άρμου) Hills,CY,CY-05,34.8092401,32.491553,2023-02-25 11:00,137
L1122880,Armou (Άρμου) area,CY,CY-05,34.803,32.4895,2022-05-31 08:42,93
L6361041,Arodes (Αρόδες),CY,CY-05,34.925912,32.3809576,2019-09-09 00:00,47
L10030966,Asprokremmos Dam (Φράγμα Ασπρόκρεμμου)--Wood,CY,CY-05,34.72771,32.5522857,2022-12-30 09:45,144
L1122873,Asprokremnos (Ασπρόκρεμμοs) Mast,CY,CY-05,34.7377,32.5503,2022-03-13 11:00,67
L6194400,Asprokremnos Dam (Φράγμα Ασπρόκρεμμου),CY,CY-05,34.7339244,32.5596571,2023-02-25 17:05,192
L2391006,Asprokremnos Dam (Φράγμα Ασπρόκρεμμου)--Pools (Historical until 2012) & Beehives,CY,CY-05,34.7232022,32.5521898,2023-02-08 13:35,162
L4807531,Asprokremnos Dam (Φράγμα Ασπρόκρεμμου)--WTP overlook,CY,CY-05,34.7458794,32.5598073,2023-02-02 11:20,88
L19219585,Atalante Trail,CY,CY-02,34.919935,32.857609,2022-11-07 07:42,31
L22249963,Atalanti Nature Trail / Μονοπάτι Αταλάντης,CY,CY-02,34.9241193,32.8766721,1999-09-08 10:45,8
L18853630,Athalassa Botanical Garden / Βοτανικός Κήπος Αθαλάσσας,CY,CY-01,35.134593,33.380307,2022-06-03 07:47,18
L1323231,Athalassa Lake / Λίμνη Αθαλάσσας,CY,CY-01,35.1278589,33.3871293,2023-03-06 10:00,108
L18853609,Athalassa National Forest Park / Εθνικό Δασικό Πάρκο Αθαλάσσας,CY,CY-01,35.1265587,33.3970185,2022-10-22 07:35,47
L5649612,Avakas Gorge (Φαράγγι Άβακα),CY,CY-05,34.9261542,32.3502088,2022-12-31 10:25,86
L9480388,Avdimou (Αυδήμου) Bay,CY,CY-02,34.6555131,32.7577479,2022-06-16 15:28,46
L4400677,Ayia Napa (Αγία Νάπα)--Coast,CY,CY-04,34.9856369,33.9873111,2023-01-05 12:30,55
L4400553,Ayia Napa (Αγία Νάπα)--Football Fields,CY,CY-04,34.9941363,34.0119338,2022-06-08 11:00,68
L4400652,Ayia Napa (Αγία Νάπα)--Water Treatment Plant,CY,CY-04,34.9924488,34.0423608,2022-07-02 11:19,100
L21268075,Ayia Napa / Αγία Νάπα--Sculpture and Cactus Parks / Πάρκο Γλυπτικής και Πάρκο Κάκτων,CY,CY-04,34.9849302,34.0198212,2023-03-04 12:47,13
L19459953,"Ayia Napa Sea Caves / Θαλασσινές Σπηλιές, Αγία Νάπα",CY,CY-04,34.968304,34.054574,2023-02-10 12:35,27
L7284213,Azganlidere Dam,CY,CY-04,35.4066024,33.8444245,2023-01-06 17:10,44
L2955732,Baths of Aphrodite (Λουτρά της Αφροδίτης),CY,CY-05,35.0585456,32.3451516,2023-01-01 11:11,135
L1323190,Bellapais Abbey,CY,CY-06,35.3074077,33.3553773,2022-07-08 14:56,49
L2090828,Bishop's Farm--Pool,CY,CY-02,34.5966353,32.9851842,2023-02-09 15:21,172
L4797008,Caledonia Falls (Καταρράκτης Καλιδωνίων) Trail,CY,CY-02,34.902019,32.8663516,2022-11-05 13:36,27
L4176325,Caledonia Falls (Καταρράκτης Καλιδωνίων) Trail--Caledonia Waterfall,CY,CY-02,34.9028535,32.8698438,2022-10-01 08:12,20
L8697280,Cape Andreas,CY,CY-04,35.6943158,34.5857794,2022-05-02 12:02,164
L9435810,Cape Andreas Pumphouse Clearing,CY,CY-04,35.6874527,34.5774176,2022-04-20 11:45,65
L4807516,Cape Drepanon (Agios Georgios) (Άγιος Γεώργιος Πέγειας),CY,CY-05,34.9018333,32.3177111,2022-07-19 06:45,128
L20216911,Cape Greco  / Κάβο Γκρέκο--Army Camp Cliffs,CY,CY-04,34.9668908,34.0720971,2022-11-06 09:11,41
L22667650,Cape Greco  / Κάβο Γκρέκο--Trails in area of Monument of Peace / Μνημείο Ειρήνης,CY,CY-04,34.9614069,34.0677452,2023-02-18 14:00,13
L8684840,Cape Greco / Κάβο Γκρέκο,CY,CY-04,34.9662713,34.0764011,2023-03-04 09:10,206
L21085496,Cape Greco / Κάβο Γκρέκο--Scrub and Pines,CY,CY-04,34.9764416,34.0612423,2022-10-07 11:49,24
L20309063,Cape Greco National Forest Park / Εθνικό Πάρκο Κάβο Γκρέκο,CY,CY-04,34.9730904,34.0724675,2022-12-10 14:01,45
L20289323,Cape Greco National Forest Park / Εθνικό Πάρκο Κάβο Γκρέκο--Picnic Site,CY,CY-04,34.9752631,34.0720797,2022-12-24 08:00,76
L12762221,Cape Kiti,CY,CY-03,34.8160298,33.6020492,2012-04-01 00:00,41
L8677184,Cape Kormakitis,CY,CY-06,35.4015601,32.921497,2022-10-22 08:00,97
L22908120,Cape Pyla,CY,CY-03,34.944003,33.857765,2023-03-04 13:38,13
L6762725,Chloraka (Χλώρακα) (Village),CY,CY-05,34.7986901,32.4151368,2022-01-15 00:00,53
L3393189,Dhiarizos (Διάριζος) Valley,CY,CY-05,34.8174312,32.7179167,2021-11-26 07:30,71
L10688628,Dhiarizos Stream Lower Reaches and Mouth,CY,CY-05,34.6959222,32.5618903,2023-02-18 00:00,39
L8677368,Dhiarizos Valley--Extreme View Cafe,CY,CY-05,34.7902989,32.6923943,2022-06-10 07:00,45
L21594265,Dipkarpaz (General),CY,CY-04,35.6792787,34.5655673,2021-04-17 08:00,20
L21019819,Drouseia / Δρούσεια,CY,CY-05,34.9643398,32.3996163,1998-05-15 08:30,6
L18622178,Eleftheria Square / Πλατεία Ελευθερίας,CY,CY-01,35.1693203,33.3611577,2023-02-11 11:33,16
L1122881,Episcope Road,CY,CY-05,34.8051,32.5155,2006-05-28 18:10,13
L3682529,Episkopi,CY,CY-02,34.6753505,32.8470612,2023-02-09 11:45,54
L11053112,Episkopi (Επισκοπή) Environmental Centre and Village,CY,CY-05,34.7926936,32.5251013,2023-02-25 19:00,43
L7284204,Ergazi Dam,CY,CY-04,35.3716582,33.9440256,2020-08-27 12:00,41
L6361203,Evretou Dam (Φράγμα Ευρέτου),CY,CY-05,34.9595429,32.4821413,2023-02-03 09:00,161
L5571127,Ezousa (Έζουσας) River Mouth,CY,CY-05,34.7309184,32.4592009,2022-06-20 10:20,27
L8677178,Ezousas (Έζουυσας) Valley,CY,CY-05,34.7972584,32.5295615,2022-12-10 17:00,59
L8677405,"Ezousas Valley, Episkopi",CY,CY-05,34.8117421,32.5290485,2022-12-20 08:45,72
L4898830,Famagusta Fresh Water Lake,CY,CY-04,35.1344678,33.90486,2023-01-05 16:28,83
L4904024,Famagusta Fresh Water Lake--South,CY,CY-04,35.1215628,33.9098208,2023-01-22 13:10,87
L18718925,Famagusta Gate / Πύλη Αμμοχώστου and Garden of Peace,CY,CY-01,35.174636,33.371953,2022-06-08 18:12,17
L10703199,Filousa (Φιλούσα) (Village),CY,CY-05,34.852523,32.7431508,2021-10-07 17:30,23
L9435885,Fresh Water Lake North,CY,CY-04,35.1291796,33.9155661,2023-01-22 14:00,67
L8677435,Galateia Marsh,CY,CY-04,35.4138032,34.0585346,2023-01-23 07:00,100
L6762694,Germasogeia Reservoir (Φράγμα Γερμασόγειας),CY,CY-02,34.7518522,33.088834,2022-09-12 15:00,98
L6752303,Geroskipou (Γεροσκήπου) (Village),CY,CY-05,34.7585767,32.4573655,2022-04-07 20:00,27
L8679581,Giant Black Pine Track,CY,CY-02,34.9290531,32.8612398,2022-07-06 12:20,24
L4898765,Glapsides Beach and Estuary,CY,CY-04,35.1604069,33.9126921,2023-01-22 15:30,45
L7279286,Goenyeli (Kioneli) Dam,CY,CY-01,35.2348726,33.3023822,2022-10-25 10:20,49
L7274322,Golden Beach,CY,CY-04,35.6424056,34.5375395,2022-05-09 16:00,112
L9272458,Goudi (Γουδί),CY,CY-05,34.99232,32.4425105,2019-05-15 04:30,38
L19342583,Grammiko Park and Presidential Palace / Γραμμικό Πάρκο και Προεδρικό Μέγαρο,CY,CY-01,35.155989,33.346667,2022-05-29 10:50,11
L7281323,Gülseren Göleti,CY,CY-04,35.1406165,33.9186573,2023-01-13 09:15,45
L5616297,Hala Sultan Tekke Mosque (Χαλά Σουλτάν Τεκκέ),CY,CY-03,34.8855261,33.6100531,2022-07-26 17:24,84
L8684874,Jumbo Drain,CY,CY-03,34.9475655,33.6451297,2023-03-04 16:07,44
L21393759,Kakkaristra Canyon / Φαράγγι της Κακκαρίστρας,CY,CY-01,35.093901,33.368539,2023-01-29 12:11,23
L7284187,Kalecik,CY,CY-04,35.3260151,33.9780736,2018-04-08 09:00,12
L7279264,Kalkanli (Agia Eirini) Dam,CY,CY-01,35.2568478,32.9871261,2023-02-20 13:15,95
L19218877,Kalopanagiotis Reservoir / Φράγμα Καλοπαναγιώτης,CY,CY-01,35.00374,32.826084,2022-05-22 19:18,9
L8837071,Kanli Dam,CY,CY-01,35.2379695,33.2598235,2015-09-13 00:00,3
L16716364,Kanli Dere,CY,CY-01,35.2058093,33.3623882,2022-11-05 08:45,19
L7275344,Kanlikoey Reservoir,CY,CY-01,35.2406421,33.2596493,2018-04-03 16:30,19
L6762686,Kannaviou Reservoir (Φράγμα Κανναβιού),CY,CY-05,34.9275692,32.5898881,2023-02-03 11:45,47
L8697380,Kantara,CY,CY-04,35.4058047,33.923615,2023-01-06 11:26,24
L8824338,"Karpas Peninsula, south coast",CY,CY-04,35.6242904,34.4786096,2022-08-30 09:45,78
L4856247,Karpaz NP,CY,CY-04,35.6402781,34.4915771,2022-11-05 13:30,101
L6361208,Kathikas (Κάθικας) (Village),CY,CY-05,34.9127513,32.4208689,2023-01-01 16:25,40
L8678073,Kathikas (Κάθικας) Hills,CY,CY-05,34.9050877,32.4332668,2022-12-15 14:00,84
L9306183,Kathikas - Akoursos,CY,CY-05,34.8990783,32.4291033,2022-05-29 06:49,30
L6811879,Kato Amiantos (Κατω Αμιαντος),CY,CY-02,34.9376281,32.9321945,2018-01-29 14:30,3
L5660827,Kato Drys (Κάτω Δρυς),CY,CY-03,34.8512726,33.3037448,2017-04-06 18:30,11
L1122878,Kato Paphos / Κάτω Πάφος,CY,CY-05,34.7655,32.411,2022-12-11 07:23,95
L6361022,Kedares (Κέδαρες) (Village),CY,CY-05,34.8359273,32.7364683,2020-07-13 19:30,2
